t_ms,ax_mg,ay_mg,az_mg,roll_acc_deg,pitch_acc_deg,gyro_int_roll,gyro_int_pitch
1999,-1,-2,999,-0.124,0.097,-0.000,-0.000
2005,-2,0,996,-0.012,0.126,-0.000,-0.000
2011,0,1,998,0.100,-0.015,-0.000,-0.000
2018,-2,1,1000,0.072,0.125,-0.000,-0.000
2024,0,0,997,-0.040,0.041,-0.000,-0.000
2030,0,0,1000,-0.040,0.013,-0.000,-0.000
2037,0,1,999,0.072,0.013,-0.000,-0.000
2043,0,0,999,0.044,0.013,-0.000,-0.000
2049,1,0,1001,-0.040,-0.071,-0.000,-0.000
2056,-1,0,1000,0.044,0.097,-0.000,-0.000
2062,0,0,999,0.044,-0.015,-0.000,-0.000
2068,0,0,1000,-0.012,0.013,-0.000,-0.000
2074,0,0,998,-0.012,0.041,-0.000,-0.000
2081,-2,0,1000,0.044,0.125,-0.000,-0.000
2138,-1,0,997,-0.012,0.097,-0.000,-0.000
2144,0,0,999,0.016,0.013,-0.000,-0.000
2150,0,-3,1001,-0.208,-0.015,-0.000,-0.000
2157,0,0,998,0.016,0.041,-0.000,-0.000
2163,1,0,999,0.044,-0.071,-0.000,-0.000
2169,3,0,998,0.016,-0.183,-0.000,-0.000
2176,0,0,999,0.044,-0.015,-0.000,-0.000
2182,0,-1,999,-0.096,0.041,-0.000,-0.000
2188,1,0,999,-0.040,-0.071,-0.000,-0.000
2194,0,1,999,0.072,-0.043,-0.000,-0.000
2201,0,0,997,0.016,-0.015,-0.000,-0.000
2206,-1,-1,998,-0.068,0.069,-0.000,-0.000
2213,0,-2,995,-0.125,-0.015,-0.000,-0.000
2218,0,-2,997,-0.152,0.013,-0.000,-0.000
2225,0,0,1001,0.044,-0.043,-0.000,-0.000
2236,0,-1,998,-0.068,-0.015,-0.000,-0.000
2241,1,0,999,-0.040,-0.099,-0.000,-0.000
2247,0,0,998,0.044,0.041,-0.000,-0.000
2254,0,0,999,-0.040,-0.043,-0.000,-0.000
2259,-2,-2,999,-0.124,0.153,-0.000,-0.000
2265,-1,0,1000,-0.012,0.097,-0.000,-0.000
2271,-1,2,999,0.156,0.069,-0.000,-0.000
2278,0,2,998,0.128,0.013,-0.000,-0.000
2283,0,0,998,0.044,0.013,-0.000,-0.000
2289,0,0,999,-0.040,-0.015,-0.000,-0.000
2299,-3,1,999,0.072,0.209,-0.000,-0.000
2306,0,-2,999,-0.152,-0.043,-0.000,-0.000
2313,0,0,999,-0.012,-0.015,-0.000,-0.000
2318,0,0,998,0.044,-0.043,-0.000,-0.000
2324,-3,0,997,-0.012,0.181,-0.000,-0.000
2331,0,0,999,-0.040,0.013,-0.000,-0.000
2336,-2,0,999,0.016,0.153,-0.000,-0.000
