t_ms,ax_g,ax_lpf_g
2529,-0.000,-0.000
2534,0.002,0.002
2540,0.000,0.000
2547,-0.003,-0.003
2552,-0.000,-0.001
2558,0.001,0.000
2564,0.000,0.000
2571,0.000,0.000
2576,-0.000,-0.000
2582,0.001,0.000
2589,0.000,0.000
2595,0.000,0.000
2601,-0.002,-0.002
2607,0.000,-0.000
2614,0.000,0.000
2619,0.003,0.003
2625,0.001,0.001
2631,0.001,0.001
2641,0.001,0.001
2648,0.001,0.001
2653,-0.001,-0.001
2659,-0.001,-0.001
2665,0.001,0.001
2672,0.001,0.001
2677,0.001,0.001
2683,0.001,0.001
2689,0.000,0.000
2696,-0.001,-0.001
2701,0.001,0.000
2707,0.000,0.000
2713,0.000,0.000
2720,0.000,0.000
2725,0.001,0.001
2731,0.001,0.001
2737,0.001,0.001
2750,0.000,0.000
2756,0.000,0.000
2761,-0.002,-0.002
2768,-0.001,-0.001
2773,0.001,0.001
2779,-0.001,-0.001
2785,-0.000,-0.001
2792,-0.001,-0.001
2797,-0.002,-0.002
2803,0.001,0.000
2809,0.000,0.000
2816,0.000,0.000
2821,-0.002,-0.002
2827,0.001,0.000
2833,0.000,0.000
2840,0.002,0.002
2845,-0.000,-0.000
2851,-0.002,-0.002
2857,-0.001,-0.001
2864,-0.000,-0.001
2869,0.000,-0.000
2875,0.000,0.000
2881,0.001,0.000
2888,0.001,0.001
2893,0.001,0.001
2899,-0.001,-0.001
2905,-0.001,-0.001
2912,0.001,0.001
2917,-0.000,-0.000
2923,-0.001,-0.001
2929,-0.002,-0.002
2936,0.001,0.001
2941,-0.002,-0.002
2947,0.001,0.001
2953,0.001,0.001
2960,0.001,0.001
2965,0.001,0.001
2971,-0.001,-0.001
2977,0.000,-0.000
2984,-0.000,-0.000
2989,-0.001,-0.001
3040,-0.000,-0.001
3052,-0.001,-0.001
3058,-0.001,-0.001
3064,0.001,0.000
3071,-0.000,-0.000
3076,0.001,0.000
3082,0.001,0.001
3089,0.001,0.001
3095,0.000,0.000
3100,0.001,0.001
3106,-0.000,-0.000
3112,0.001,0.001
3119,-0.001,-0.001
3124,0.000,-0.000
3130,0.001,0.000
3136,-0.001,-0.001
3143,-0.000,-0.000
3149,0.000,-0.000
3154,0.002,0.002
3160,0.001,0.001
3167,0.002,0.002
3172,-0.001,-0.001
3178,0.001,0.000
