t_ms,ax_mg,ay_mg,az_mg,roll_acc_deg,pitch_acc_deg
1630,1,0,1000,0.036,-0.098
1636,2,0,999,0.008,-0.154
1643,0,2,1000,0.147,-0.042
1648,-1,-1,998,-0.076,0.07
1654,-2,-2,1001,-0.16,0.125
1660,0,0,998,0.036,0.042
1667,-2,-1,999,-0.104,0.126
1672,-1,0,1000,0.008,0.098
1678,3,2,999,0.148,-0.21
1684,3,0,999,0.036,-0.182
1691,-1,1,1000,0.091,0.07
1696,-1,-1,1001,-0.076,0.07
1702,-2,0,998,0.036,0.126
1708,-1,-1,1001,-0.076,0.098
1715,0,0,996,-0.02,-0.014
1720,2,1,1000,0.064,-0.126
1726,3,0,998,0.036,-0.182
1732,0,1,1000,0.064,-0.042
1739,0,0,997,0.008,-0.042
1745,0,0,999,0.036,-0.042
1751,-1,0,1000,0.008,0.098
1758,1,1,1001,0.091,-0.07
1763,1,-1,999,-0.104,-0.07
1769,1,-1,999,-0.076,-0.098
1779,0,0,1000,-0.048,-0.014
1785,-1,-1,999,-0.104,0.098
1792,-1,0,1001,-0.048,0.098
1797,1,0,1000,0.008,-0.098
1803,1,1,1001,0.063,-0.098
1809,0,0,1000,0.008,0.042
1817,0,0,998,0.008,-0.042
1822,0,0,997,0.036,0.042
1828,0,-1,1000,-0.076,0.014
1835,0,0,1001,-0.02,0.014
1840,0,0,999,-0.048,-0.014
1846,0,-2,999,-0.132,-0.042
1852,0,0,998,0.008,-0.014
1859,0,3,998,0.176,-0.042
1865,0,0,1000,0.036,0.014
1871,0,1,998,0.064,-0.014
1877,-4,1,1001,0.091,0.237
1884,0,1,999,0.064,0.014
1889,-1,0,999,0.008,0.098
1895,0,0,1001,-0.02,0.014
1901,0,-1,998,-0.076,0.014
1908,2,0,999,-0.02,-0.126
1913,0,0,999,-0.048,-0.014
1919,-1,-2,998,-0.132,0.098
1925,1,1,997,0.064,-0.098
1932,-2,0,999,-0.02,0.154
1937,-1,-1,999,-0.076,0.098
1943,0,-1,999,-0.076,0.014
1949,0,-3,996,-0.189,-0.014
1956,0,1,1000,0.091,0.014
1961,-1,0,998,0.036,0.098
1967,0,-2,999,-0.132,-0.014
1973,-1,0,999,0.008,0.07
1980,0,0,998,0.008,0.014
1985,0,0,1001,0.008,-0.014
1991,0,0,998,-0.02,0.042
1997,0,0,998,0.036,-0.014
2004,0,-1,998,-0.076,-0.042
2013,0,0,1000,0.008,-0.014
2064,0,1,999,0.064,0.042
2071,-1,0,1000,-0.02,0.098
2076,1,-2,999,-0.132,-0.07
2082,0,0,999,0.008,-0.014
2093,-2,0,999,-0.02,0.126
2098,0,-2,1000,-0.16,-0.042
2105,-1,-1,1000,-0.104,0.07
2110,0,-1,1001,-0.104,-0.014
2116,1,-1,998,-0.076,-0.07
2122,0,-1,999,-0.076,0.014
2129,1,0,997,0.008,-0.098
2134,-1,-1,998,-0.076,0.07
2140,1,0,999,0.036,-0.07
2146,0,2,1000,0.119,0.014
2153,-2,2,1001,0.119,0.153
2158,0,1,1000,0.091,0.014
2164,1,0,998,0.036,-0.098
2170,1,2,999,0.12,-0.07
2177,0,0,999,0.036,0.042
2182,0,1,999,0.064,-0.014
2188,2,0,999,-0.048,-0.126
2194,0,0,1000,0.008,-0.042
2201,0,0,1000,-0.02,-0.014
2206,0,0,999,-0.02,-0.042
2212,0,0,997,-0.02,0.042
2218,0,-3,998,-0.188,-0.014
2225,1,-2,999,-0.132,-0.098
2230,0,1,1000,0.091,0.042
2236,1,2,1001,0.119,-0.07
2242,1,0,999,0.008,-0.07
2249,0,-1,999,-0.076,0.042
2254,1,0,999,-0.02,-0.07
2260,0,0,1001,-0.048,-0.042
2266,-1,0,999,-0.048,0.07
2273,0,1,1000,0.064,-0.042
2278,1,-1,1002,-0.104,-0.07
2284,0,-1,1001,-0.104,-0.014
2293,-1,1,997,0.064,0.07
2299,-1,0,999,0.008,0.07
2306,-1,0,998,0.036,0.098
2312,-1,2,998,0.148,0.098
2318,0,3,1001,0.175,0.042
2324,0,1,999,0.064,-0.042
2336,-1,0,999,0.008,0.098
2342,-3,-1,999,-0.104,0.182
2348,0,-1,1000,-0.076,0.014
2355,0,0,999,0.008,-0.042
2360,0,0,998,-0.048,-0.014
2366,0,-1,999,-0.104,-0.042
2372,0,0,998,0.008,0.042
2379,3,0,1002,-0.02,-0.181
2384,-1,1,998,0.092,0.07
2390,0,-2,999,-0.132,0.014
2396,-1,-1,998,-0.076,0.098
2403,0,-1,1002,-0.076,-0.042
2408,0,0,1000,0.008,-0.014
2414,1,1,998,0.064,-0.07
2420,1,0,999,0.008,-0.07
2427,-1,0,998,0.008,0.07
2432,0,0,999,-0.048,0.042
2438,-1,-3,1000,-0.188,0.07
2444,-1,-1,1000,-0.076,0.098
2451,0,0,1000,0.008,0.014
2456,0,0,999,-0.048,0.014
2462,0,0,999,-0.02,-0.014
2468,0,1,999,0.064,0.014
2475,0,0,997,0.008,-0.014
2480,1,0,1002,0.008,-0.07
2486,0,1,999,0.064,0.014
2492,-1,-2,999,-0.132,0.098
2499,-1,0,999,0.008,0.07
2504,0,1,1000,0.091,0.042
2510,0,-1,1001,-0.076,-0.014
2516,2,0,999,-0.02,-0.154
2523,0,-1,1001,-0.104,-0.042
2532,0,-1,999,-0.076,-0.014
2538,0,0,997,0.036,0.042
2544,0,0,997,-0.048,0.042
2550,0,1,1001,0.063,-0.014
2557,0,1,997,0.092,-0.042
2562,0,1,1000,0.091,-0.014
2568,0,3,998,0.176,0.042
2577,0,0,1002,0.008,0.042
